timestamp,src_ip,dst_ip,protocol,length
2025-06-24 23:40:27,13.107.137.11,192.168.7.149,6,56
2025-06-24 23:40:27,13.107.137.11,192.168.7.149,6,56
2025-06-24 23:40:27,13.107.137.11,192.168.7.149,6,56
2025-06-24 23:40:28,192.168.7.149,20.192.44.68,6,85
2025-06-24 23:40:28,20.192.44.68,192.168.7.149,6,56
2025-06-24 23:40:28,13.107.137.11,192.168.7.149,6,1334
2025-06-24 23:40:28,13.107.137.11,192.168.7.149,6,1334
2025-06-24 23:40:28,13.107.137.11,192.168.7.149,6,333
2025-06-24 23:40:28,13.107.137.11,192.168.7.149,6,1334
2025-06-24 23:40:28,192.168.7.149,13.107.137.11,6,66
2025-06-24 23:40:28,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:28,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:40:28,192.168.7.149,13.107.137.11,6,139
2025-06-24 23:40:28,13.107.137.11,192.168.7.149,6,56
2025-06-24 23:40:28,13.107.137.11,192.168.7.149,6,56
2025-06-24 23:40:28,192.168.7.149,192.168.7.73,6,66
2025-06-24 23:40:28,192.168.7.149,192.168.7.73,6,66
2025-06-24 23:40:28,192.168.7.73,192.168.7.149,6,66
2025-06-24 23:40:28,192.168.7.73,192.168.7.149,6,66
2025-06-24 23:40:28,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:40:28,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:40:28,192.168.7.149,192.168.7.73,6,56
2025-06-24 23:40:28,192.168.7.149,192.168.7.73,6,87
2025-06-24 23:40:28,192.168.7.149,192.168.7.73,6,56
2025-06-24 23:40:28,192.168.7.149,192.168.7.73,6,87
2025-06-24 23:40:28,192.168.7.73,192.168.7.149,6,54
2025-06-24 23:40:28,192.168.7.73,192.168.7.149,6,54
2025-06-24 23:40:28,192.168.7.73,192.168.7.149,6,54
2025-06-24 23:40:28,192.168.7.73,192.168.7.149,6,54
2025-06-24 23:40:28,192.168.7.73,192.168.7.149,6,55
2025-06-24 23:40:28,192.168.7.73,192.168.7.149,6,55
2025-06-24 23:40:28,192.168.7.149,192.168.7.73,6,66
2025-06-24 23:40:28,192.168.7.149,192.168.7.73,6,66
2025-06-24 23:40:29,192.168.7.73,192.168.7.149,6,66
2025-06-24 23:40:29,192.168.7.73,192.168.7.149,6,66
2025-06-24 23:40:29,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:40:29,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:40:29,192.168.7.149,192.168.7.73,6,56
2025-06-24 23:40:29,192.168.7.149,192.168.7.73,6,87
2025-06-24 23:40:29,192.168.7.149,192.168.7.73,6,56
2025-06-24 23:40:29,192.168.7.149,192.168.7.73,6,87
2025-06-24 23:40:29,192.168.7.73,192.168.7.149,6,54
2025-06-24 23:40:29,192.168.7.73,192.168.7.149,6,54
2025-06-24 23:40:29,192.168.7.73,192.168.7.149,6,54
2025-06-24 23:40:29,192.168.7.73,192.168.7.149,6,54
2025-06-24 23:40:29,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:40:29,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:40:29,192.168.7.73,192.168.7.149,6,104
2025-06-24 23:40:29,192.168.7.73,192.168.7.149,6,145
2025-06-24 23:40:29,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:40:29,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:40:29,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:40:29,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:40:29,192.168.7.149,142.250.207.195,17,1292
2025-06-24 23:40:29,192.168.7.149,142.250.207.195,17,1292
2025-06-24 23:40:29,192.168.7.149,142.250.207.195,17,118
2025-06-24 23:40:29,192.168.7.149,142.250.207.195,17,896
2025-06-24 23:40:29,192.168.7.149,142.250.207.195,17,166
2025-06-24 23:40:29,192.168.7.73,192.168.7.149,6,54
2025-06-24 23:40:29,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:40:29,192.168.7.73,192.168.7.149,6,54
2025-06-24 23:40:29,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:40:29,142.250.207.195,192.168.7.149,17,86
2025-06-24 23:40:29,142.250.207.195,192.168.7.149,17,1296
2025-06-24 23:40:29,192.168.7.73,192.168.7.149,6,54
2025-06-24 23:40:29,192.168.7.73,192.168.7.149,6,54
2025-06-24 23:40:29,192.168.7.73,192.168.7.149,6,55
2025-06-24 23:40:29,192.168.7.73,192.168.7.149,6,104
2025-06-24 23:40:29,192.168.7.73,192.168.7.149,6,55
2025-06-24 23:40:29,192.168.7.73,192.168.7.149,6,145
2025-06-24 23:40:29,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:40:29,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:40:29,192.168.7.149,142.250.207.195,17,1292
2025-06-24 23:40:29,142.250.207.195,192.168.7.149,17,1296
2025-06-24 23:40:29,142.250.207.195,192.168.7.149,17,335
2025-06-24 23:40:29,192.168.7.149,142.250.207.195,17,1292
2025-06-24 23:40:29,142.250.207.195,192.168.7.149,17,990
2025-06-24 23:40:29,142.250.207.195,192.168.7.149,17,71
2025-06-24 23:40:29,142.250.207.195,192.168.7.149,17,1296
2025-06-24 23:40:29,142.250.207.195,192.168.7.149,17,341
2025-06-24 23:40:29,192.168.7.149,142.250.207.195,17,73
2025-06-24 23:40:29,192.168.7.149,142.250.207.195,17,155
2025-06-24 23:40:29,142.250.207.195,192.168.7.149,17,166
2025-06-24 23:40:29,192.168.7.149,142.250.207.195,17,75
2025-06-24 23:40:29,13.107.137.11,192.168.7.149,6,1334
2025-06-24 23:40:29,13.107.137.11,192.168.7.149,6,1334
2025-06-24 23:40:29,13.107.137.11,192.168.7.149,6,1334
2025-06-24 23:40:29,13.107.137.11,192.168.7.149,6,385
2025-06-24 23:40:29,13.107.137.11,192.168.7.149,6,778
2025-06-24 23:40:29,192.168.7.149,13.107.137.11,6,54
2025-06-24 23:40:29,142.250.207.195,192.168.7.149,17,578
